energy_100g,proteins_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,sodium_100g,fiber_100g,kcal,category
1648.0,9.09,18.18,9.09,60.61,0.0,0.788,15.2,393.8814531548757,2
368.0,0.0,0.0,0.0,17.65,11.76,0.882,0.0,87.95411089866157,3
2029.0,6.06,30.3,15.15,51.52,0.0,0.606,9.1,484.94263862332696,2
2280.0,6.06,33.33,18.18,48.48,0.0,0.0,12.1,544.9330783938815,2
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
494.0,0.0,0.0,0.0,23.53,23.53,0.941,0.0,118.06883365200764,3
243.0,0.42,0.0,0.0,14.58,12.92,0.0,0.0,58.07839388145315,1
243.0,0.42,0.0,0.0,14.58,12.92,0.0,0.0,58.07839388145315,1
192.0,0.0,0.0,0.0,11.25,9.17,0.002,0.0,45.88910133843212,1
1000.0,1.77,4.42,0.88,47.79,6.19,0.637,1.8,239.0057361376673,2
1184.0,8.7,3.26,0.0,52.17,6.52,0.435,2.2,282.9827915869981,2
1142.0,6.82,3.41,0.0,50.0,6.82,0.432,2.3,272.944550669216,2
1046.0,9.09,3.41,0.0,50.0,4.55,0.409,2.3,250.0,2
1904.0,9.09,24.24,12.12,54.55,0.0,0.788,12.1,455.0669216061185,2
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
1464.0,10.0,6.25,2.5,70.0,0.0,0.825,10.0,349.9043977055449,2
1393.0,9.52,8.33,2.38,66.67,0.0,1.0,9.5,332.93499043977056,2
1912.0,5.71,28.57,14.29,51.43,0.0,0.771,8.6,456.9789674952199,2
1845.0,5.88,26.47,11.76,55.88,0.0,0.5,8.8,440.96558317399615,2
1464.0,10.0,6.25,2.5,70.0,0.0,0.825,10.0,349.9043977055449,2
1912.0,5.71,28.57,14.29,51.43,0.0,0.743,8.6,456.9789674952199,2
2140.0,6.98,27.9,25.6,62.8,60.5,0.105,0.0,511.472275334608,2
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
285.0,0.5,0.5,0.5,14.9,12.4,0.0039370078740157,0.9,68.11663479923519,1
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
