product_name,Size g,Product type,category,country,retailer,HSR,nutrient_energy_kj,protein_g_per_100g,fat_g_per_100g,sat_fat_g_per_100g,carbohydrates,sugars_g_per_100g,sodium_mg_per_100g,fiber_g_per_100g,ingredients_text,date_collected,allergen,data_source,kcal_per_100g
Woolworths Lean Beef Mince,1000,meat,2,Australia,woolworths,4.0,710.0,20.0,10.0,4.7,1.0,1.0,56.0,0.0,Australian Beef (100%),29/10/25,,,169.6940726577438
Woolworths Corned Beef Silverside,1000-2500,meat,2,Australia,woolworths,3.5,388.0,17.1,2.3,1.0,0.1,1.0,940.0,0.0,"Australian Beef (71%), Water, Salt, Mineral Salts (451, 450, 452), Sugar, Antioxidant (316), Preservative (Sodium Nitrite), Vegetable Gums (Guar Gum, Xanthan Gum)",29/10/25,,,92.73422562141492
Woolworths Roast Beef In Onion & Red Wine,800-1500,meat,2,Australia,woolworths,3.5,603.0,17.6,7.6,3.0,1.3,0.2,575.0,0.0,"Australian Beef (81%), Water, Rub (Dehydrated Vegetables (including Onion (0.5%), Salt, Mineral Salt(Potassium Chloride), Acidity Regulators (262, Sodium Citrates), Herbs and Spices, Natural Red WineFlavour, Fermented Red Rice, Vegetable Gum (GuarGum), Thickener (Xanthan Gum), Maltodextrin (Maize), Antioxidant (316), Citrus Fibre, Canola Oil, Worcestershire Sauce, Sugar, Natural Colour (CaramelI), Yeast Extract, Tamarind Extract), Tapioca Starch, Acidity Regulators (262, Sodium Citrates), Mineral Salts (450, 451), Salt, Antioxidant (316), Thickener (Xanthan Gum), Canola Oil, Ginger, Pepper, Onion Extract",29/10/25,,,144.1204588910134
Woolworths Beef Lasagne ,2000,Food,2,Australia,woolworths,3.5,536.0,4.4,5.3,2.6,15.0,1.8,229.0,1.2,"Water, Pasta (22%) (Durum Wheat Semolina, Water), Beef (9%), Tomato Paste (7%) (Tomato, Acidity Regulator (Citric Acid)), Tapioca Flour, Carrot (2.5%), Butter (Milk), Onion (2%), Celery (1.5%), Milk (1%), Milk Powder (1%), Wheat Flour, Textured Vegetable Protein (Soy, Natural Colour (Caramel I)), Canola Oil, Onion Seasoning, Bouillon Powder, Garlic, Salt, Sugar, Paprika, Herbs, Natural Preservative (Nisin (Soy))",29/10/25,"Milk, Gluten, Soy, Wheat,Egg, Peanuts",,128.10707456978966
Woolworths Buttermilk Tennessee Style Chicken Wing Nibbles,600,meat,2,Australia,woolworths,3.5,990.0,14.8,14.7,2.5,10.9,1.0,410.0,1.1,"RSPCA Approved Chicken Wing Nibbles (70%), Tennessee Style Coating (20%) (Wheat Flour, Breadcrumb (Wheat Flour, Vegetable Oil, Yeast, Salt), Rice Flour, Thickeners (1420, 1404), Spices, Mineral Salts (508, 450, 500), Brown Sugar, Maize Flour (Wheat), Salt, Natural Flavourings (Barley, Milk), Vegetable Powders (Garlic, Onion), Natural Colours (Curcumin, Paprika Oleoresins), Vegetable Gum (415), Wheat Gluten, Herb, Spice Extract, Water), Vegetable Oil, Mineral Salts (450, 452, 339), Thickener (1422), Milk Solids (Soy, Buttermilk (Milk)), Sour Cream Powder (Milk), Yeast Extract, Natural Flavouring (Milk), Food Acid (Lactic Acid), Whey Protein (Milk)",29/10/25,"Milk, Gluten, Soy, Wheat",,236.61567877629065
Woolworths Southern Style Chicken Portions,1200,meat,2,Australia,woolworths,3.5,909.0,16.2,14.4,3.2,5.9,1.0,355.0,0.0,"RSPCA Approved Chicken (72%), Batter (Water, Wheat Flour, Maize Flour, Thickeners (1404, 1442, Xanthan Gum), Salt, Rice Flour, Mineral Salts (450, 500), Canola Oil, Natural Colours (160c, 100), Spices), Brine (Water, Rice Starch, Salt, Mineral Salts (451, 450), Buttermilk (Milk), Sugar, Dehydrated Vegetables (Garlic, Onion), Yeast Extract, Soy Protein, Whey Powder (Milk), Soy Extract, Maltodextrin (Maize), Rice Bran Oil, Flavour, Canola Oil, Acidity Regulators (327, Lactic Acid), Spice Extracts), Breader (Wheat Flour, Salt, Spices (Wheat), Yeast Extract, Dehydrated Vegetables (Onion, Garlic), Sugar, Canola Oil, Flavour, Yeast, Mineral Salts (450, 500), Herbs (Wheat), Natural Colour (Paprika Oleoresins), Spice Extracts), Flour Coating Blend (Wheat Flour, Thickener (1422), Spices (Wheat), Wheat Gluten, Egg White, Herbs (Wheat), Processing Aids (Wheat)), Canola Oil.",29/10/25,"Egg, Milk, Gluten, Soy, Wheat",,217.2562141491396
McCain Superfries Shoestring ,900,vegetables,2,Australia,woolworths,4.5,570.0,1.9,3.8,1.0,22.4,1.0,36.0,0.0,"Potato (95%), Canola Oil, Acidity Regulator (450), Dextrose.",29/10/25,"Sulphites, Gluten, Wheat",,136.23326959847037
MasterFoods Tomato Sauce ,500,vegetables,2,Australia,Coles,2.5,505.0,1.7,0.4,0.1,26.1,24.8,828.0,0.0,Tomatoes (From Paste) 79% Sugar Salt Acidity Regulator (Acetic Acid) Onion Spice Extract,29/10/25,,,120.697896749522
Farmers Union Greek Yoghurt Pouch Vanilla ,130,Yoghurt,2D,Australia,Coles,4.0,384.0,4.6,2.9,1.9,11.6,11.1,50.0,0.0,"Milk, Milk Solids, Water, Sugar, Cream (Milk), Thickener (Modified Starch), Natural Flavour, Acidity Regulators (Citric Acid, Sodium Citrate), Probiotic Cultures (Milk): B. lactis (BB-12), Yoghurt Cultures (Milk): S. Thermophilus, L. Bulgaricus, Vanilla Bean (0.01%), Natural Colour (Carotene)",29/10/25,Milk,,91.77820267686424
Woolworths Full Cream Long Life Milk UHT ,1000,Milk,1D,Australia,Woolsworth,4.0,264.0,3.3,3.4,2.6,4.8,4.8,40.0,0.0,Ultra Heat Treated Homogenised Full Cream Milk.,29/10/25,Milk,,63.09751434034417
